service_id,date,exception_type
2410-2-1650012026-TAL6#MID6,20260108,2
2410-2-1650012026-TAL6#MID6,20260115,2
2410-2-1650012026-TAL6#MID6,20260122,2
2410-2-1650012026-TAL6#MID6,20260129,2
2410-2-1650022026-TAL6#MID6,20260205,2
2411-10-0930032026-ORL6#4DM,20260325,2
2411-10-0930032026-ORL6#4DM,20260326,2
2411-10-1030012026-ORL6#4DM,20260108,2
2411-10-1030012026-ORL6#4DM,20260115,2
2411-10-1030012026-ORL6#4DM,20260122,2
2411-10-1030012026-ORL6#4DM,20260129,2
2411-10-1030122025-ORL6#4DM,20251217,2
2411-10-1030122025-ORL6#4DM,20251218,2
2411-11-2205032026-4DM#ORL6,20260324,2
2411-11-2205032026-4DM#ORL6,20260326,2
2411-11-2305012026-4DM#ORL6,20260108,2
2411-11-2305012026-4DM#ORL6,20260115,2
2411-11-2305012026-4DM#ORL6,20260122,2
2411-11-2305012026-4DM#ORL6,20260129,2
2411-11-2305122025-4DM#ORL6,20251216,2
2411-11-2305122025-4DM#ORL6,20251218,2
2411-12-1515032026-ORL6#4DM,20260324,2
2411-12-1515032026-ORL6#4DM,20260326,2
2411-12-1615012026-ORL6#4DM,20260108,2
2411-12-1615012026-ORL6#4DM,20260115,2
2411-12-1615012026-ORL6#4DM,20260122,2
2411-12-1615012026-ORL6#4DM,20260129,2
2411-12-1615122025-ORL6#4DM,20251216,2
2411-12-1615122025-ORL6#4DM,20251218,2
2411-3-1535032026-4DM#ORL6,20260325,2
2411-3-1535032026-4DM#ORL6,20260326,2
2411-3-1635012026-4DM#ORL6,20260108,2
2411-3-1635012026-4DM#ORL6,20260115,2
2411-3-1635012026-4DM#ORL6,20260122,2
2411-3-1635012026-4DM#ORL6,20260129,2
2411-3-1635122025-4DM#ORL6,20251217,2
2411-3-1635122025-4DM#ORL6,20251218,2
2421-10-1320032026-ORL6#MID6,20260309,2
2421-10-1320032026-ORL6#MID6,20260311,2
2421-10-1320032026-ORL6#MID6,20260313,2
2421-10-1320032026-ORL6#MID6,20260315,2
2421-10-1320032026-ORL6#MID6,20260317,2
2421-10-1320032026-ORL6#MID6,20260319,2
2421-10-1320032026-ORL6#MID6,20260321,2
2421-10-1320032026-ORL6#MID6,20260323,2
2421-10-1320032026-ORL6#MID6,20260324,2
2421-10-1320032026-ORL6#MID6,20260325,2
2421-10-1320032026-ORL6#MID6,20260327,2
2421-10-1320032026-ORL6#MID6,20260329,2
2421-10-1320042026-ORL6#MID6,20260404,2
2421-10-1320042026-ORL6#MID6,20260406,2
2421-10-1320042026-ORL6#MID6,20260410,2
2421-10-1320042026-ORL6#MID6,20260412,2
2421-10-1320042026-ORL6#MID6,20260416,2
2421-10-1320042026-ORL6#MID6,20260418,2
2421-10-1320042026-ORL6#MID6,20260420,2
2421-10-1320042026-ORL6#MID6,20260424,2
2421-10-1320042026-ORL6#MID6,20260426,2
2421-10-1320052026-ORL6#MID6,20260502,2
2421-10-1320052026-ORL6#MID6,20260504,2
2421-10-1320052026-ORL6#MID6,20260508,2
2421-10-1320052026-ORL6#MID6,20260510,2
2421-10-1320052026-ORL6#MID6,20260514,2
2421-10-1320052026-ORL6#MID6,20260516,2
2421-10-1320052026-ORL6#MID6,20260518,2
2421-10-1320052026-ORL6#MID6,20260522,2
2421-10-1320052026-ORL6#MID6,20260524,2
2421-10-1320052026-ORL6#MID6,20260528,2
2421-10-1320052026-ORL6#MID6,20260530,2
2421-10-1320062026-ORL6#MID6,20260605,2
2421-10-1320062026-ORL6#MID6,20260611,2
2421-10-1420012026-ORL6#MID6,20260102,2
2421-10-1420012026-ORL6#MID6,20260104,2
2421-10-1420012026-ORL6#MID6,20260108,2
2421-10-1420012026-ORL6#MID6,20260110,2
2421-10-1420012026-ORL6#MID6,20260112,2
2421-10-1420012026-ORL6#MID6,20260116,2
2421-10-1420012026-ORL6#MID6,20260118,2
2421-10-1420012026-ORL6#MID6,20260122,2
2421-10-1420012026-ORL6#MID6,20260124,2
2421-10-1420012026-ORL6#MID6,20260126,2
2421-10-1420012026-ORL6#MID6,20260130,2
2421-10-1420022026-ORL6#MID6,20260205,2
2421-10-1420022026-ORL6#MID6,20260207,2
2421-10-1420022026-ORL6#MID6,20260209,2
2421-10-1420022026-ORL6#MID6,20260213,2
2421-10-1420022026-ORL6#MID6,20260215,2
2421-10-1420022026-ORL6#MID6,20260219,2
2421-10-1420022026-ORL6#MID6,20260221,2
2421-10-1420022026-ORL6#MID6,20260223,2
2421-10-1420022026-ORL6#MID6,20260227,2
2421-10-1420122025-ORL6#MID6,20251215,2
2421-10-1420122025-ORL6#MID6,20251217,2
2421-10-1420122025-ORL6#MID6,20251219,2
2421-10-1420122025-ORL6#MID6,20251221,2
2421-10-1420122025-ORL6#MID6,20251225,2
2421-10-1420122025-ORL6#MID6,20251227,2
2421-11-1645032026-MID6#ORL6,20260310,2
2421-11-1645032026-MID6#ORL6,20260312,2
2421-11-1645032026-MID6#ORL6,20260314,2
2421-11-1645032026-MID6#ORL6,20260316,2
